Origine_linguistique,Type_entite,Count - Origine_linguistique
,Village,2
Langue amérindienne indéterminée,Baie,8
,Barrage,5
,Brisants,1
,Bureau de poste,2
,Camp,1
,Canton,2
,Cap,3
,Centre éducatif forestier,1
,Chute,1
,Circonscription électorale,3
,Circonscription foncière,5
,Communauté urbaine,1
,Digue,1
,District électoral,4
,Division de recensement,4
,Étang,1
,Havre,1
,Île,5
,Lac,185
,Lacs,3
,Mont,2
,Municipalité,2
,Municipalité de paroisse,1
,Municipalité de village,3
,Municipalité régionale de comté,1
,Parc national,1
,Parc public,2
,Parc-école,1
,Partie de lac,1
,Passe,2
,Pointe,6
,Pont,3
,Portage,1
,Porte,1
,Poste de transport,1
,Réserve indienne,3
,Rivière,24
,Rocher,1
,Ruisseau,3
,Terrain de camping,1
,Village,2
,Ville,1
,Zone d'aménagement et de conservation,5
Malécite,Centre éducatif forestier,1
,Circonscription foncière,1
,Division de recensement,1
,Lac,3
,Municipalité de village,1
Micmac,Aéroport,1
,Barrage,2
,Bureau de poste,2
,Circonscription électorale,3
,Circonscription foncière,4
,Division de recensement,6
,Lac,1
,Lieu-dit,1
,Municipalité,3
,Municipalité de canton,2
,Municipalité régionale de comté,1
,Parc de conservation,1
,Réserve indienne,1
,Rivière,2
,Site historique,1
,Village,1
Mohawk,Canton,1
,Réserve indienne,1
Naskapis,Chute,1
,Colline,1
,Falaise,1
,Lac,12
,Lacs,1
,Lieu-dit,2
,Mont,3
,Pointe,1
,Portage,1
,Réserve de chasse et de pêche,1
,Rivière,5
,Ruisseau,1
Wendat,Lac,4
,Pont,1
Total Result,,12765
